FAMILYDESC	FAMILY	Dog	Chimp	Human	Mouse	Rat
SERINE/THREONINE KINASE ULK1 EC_2.7.1.37 UNC 51  KINASE 1	ENSF00000001455	6	8	15	17	6
HRAS  SUPPRESSOR	ENSF00000002604	2	10	19	13	8
SECERNIN 1	ENSF00000002418	9	9	13	12	9
ARYLAMINE N ACETYLTRANSFERASE EC_2.3.1.5 ARYLAMIDE ACETYLASE ARYLAMINE N ACETYLTRANSFERASE N ACETYLTRANSFERASE TYPE NAT	ENSF00000001890	11	4	17	11	9
INHIBIN BETA CHAIN PRECURSOR ACTIVIN BETA CHAIN	ENSF00000000980	5	6	14	14	13
RHO GUANINE NUCLEOTIDE EXCHANGE FACTOR 7 PAK INTERACTING EXCHANGE FACTOR BETA BETA PIX	ENSF00000001236	10	12	10	13	7
ADHESION MOLECULE PRECURSOR JAM	ENSF00000002116	5	10	15	15	7
RELATED	ENSF00000001675	8	8	15	16	5
UNKNOWN	ENSF00000002163	12	7	10	9	14
COLLAGEN ALPHA 1 XVIII CHAIN PRECURSOR [CONTAINS: ENDOSTATIN]	ENSF00000000934	9	7	15	15	6
CLATHRIN COAT ASSEMBLY CLATHRIN COAT ASSOCIATED ADAPTOR AP KDA CLATHRIN ASSEMBLY COMPLEX MEDIUM CHAIN	ENSF00000001169	6	8	15	14	9
2 4 DIENOYL COA REDUCTASE MITOCHONDRIAL PRECURSOR EC_1.3.1.34 2 4 DIENOYL COA REDUCTASE [NADPH] 4 ENOYL COA REDUCTASE [NADPH]	ENSF00000001694	8	6	16	12	10
SORTING NEXIN	ENSF00000002254	6	10	16	12	8
EUKARYOTIC TRANSLATION INITIATION FACTOR 1A EIF 1A EIF 4C	ENSF00000002721	2	5	7	31	7
PHOSPHATIDYLCHOLINE:CERAMIDE CHOLINEPHOSPHOTRANSFERASE EC_2.7.-.- SPHINGOMYELIN SYNTHASE	ENSF00000001528	8	8	16	11	9
40S RIBOSOMAL S17	ENSF00000001905	4	6	14	12	16
TRANSFORMING GROWTH FACTOR BETA PRECURSOR TGF BETA	ENSF00000000851	7	7	12	16	10
TYROSINE PHOSPHATASE NON RECEPTOR TYPE EC_3.1.3.48 TYROSINE PHOSPHATASE	ENSF00000001760	9	4	10	20	9
INTERFERON INDUCED 6 16 PRECURSOR IFI 6 16	ENSF00000001472	4	9	14	18	7
ARF GTPASE ACTIVATING GIT1 G COUPLED RECEPTOR KINASE INTERACTOR 1 GRK INTERACTING 1 COOL ASSOCIATED AND TYROSINE PHOSPHORYLATED 1 CAT 1	ENSF00000001461	5	10	18	12	7
AMBIGUOUS	ENSF00000002524	6	7	14	17	7
AMBIGUOUS	ENSF00000002145	8	10	13	14	6
SYNTAXIN BINDING UNC 18 HOMOLOG UNC	ENSF00000001084	7	8	14	12	10
ARYL HYDROCARBON RECEPTOR PRECURSOR AH RECEPTOR AHR	ENSF00000000621	13	7	7	17	7
ESPIN	ENSF00000002218	3	8	11	16	13
MUS MUSCULUS CDNA PRODUCT:HYPOTHETICAL ANKYRIN REPEAT REGION CIRCULAR PROFILE/YEAST DNA BINDING DOMAIN CONTAINING PROTEIN	ENSF00000002211	2	10	22	15	2
